316F,15,19,17,9,292,43,123,14,4,189,8
63,24,23,17,25,1852,29,75,34,14,694,5
117,11,18,13,15,595,37,241,22,8,594,7
146C,0,0,0,0,55,0,1,0,0,34,1
141A,0,1,0,4,15,0,8,2,0,50,0
343,6,16,12,13,219,14,14,17,3,138,4
221,0,0,0,2,36,0,0,0,1,34,1
17,42,47,73,94,1683,192,505,124,39,2151,58
263C,7,5,5,10,180,21,46,7,3,205,3
269,8,14,6,33,467,32,306,33,6,1177,13
119,20,34,57,30,896,24,115,34,9,937,13
291,30,36,27,45,1498,39,160,40,14,2342,29
392,32,38,29,60,932,48,547,41,13,513,22
314,16,20,21,23,844,31,111,37,11,1095,14
145,1,4,0,4,114,1,9,1,2,175,0
36,4,2,5,1,143,2,15,4,1,77,1
88,21,21,21,35,960,72,157,56,11,731,9
274,4,5,3,16,141,20,66,15,9,206,12
14J,91,150,489,13,3886,223,399,84,29,571,30
166,86,43,39,61,2155,99,432,72,19,1185,40
110,0,0,1,2,16,2,13,0,0,7,0
151,4,5,5,0,86,37,64,14,2,255,4
136,10,14,6,23,586,13,78,18,6,649,11
365,0,0,0,0,0,0,0,0,0,2,0
83,4,18,19,28,426,17,70,17,4,231,6
51A,0,1,0,0,18,1,11,0,0,18,0
8A,31,82,82,17,1201,149,268,71,24,856,30
180,7,0,1,1,84,2,0,2,1,55,1
316J,27,90,71,14,817,136,281,59,25,509,32
170,252,24,17,22,818,50,135,27,15,567,10
14,58,132,283,25,2701,182,408,69,20,327,20
191A,2,1,1,3,77,1,22,4,2,111,0
275,16,23,15,27,330,19,217,28,15,751,19
163,18,10,11,11,379,23,102,21,4,193,5
310A,100,87,164,109,6986,471,1295,249,95,8863,69
156C,7,14,11,9,354,48,84,21,1,331,7
32,12,15,15,15,581,56,121,31,10,491,7
57,5,11,3,11,140,8,118,22,3,535,1
24,8,9,10,12,468,43,197,28,6,335,10
381,17,10,8,13,381,10,49,12,8,366,1
316I,3,16,24,3,316,49,97,19,6,154,8
199,0,0,0,0,0,0,0,0,0,0,0
14N,45,87,98,24,1272,226,328,115,24,894,37
123,35,35,18,39,1475,42,199,49,26,849,13
50,3,3,5,6,141,7,66,10,5,318,3
305,28,16,14,28,1394,26,79,30,11,1860,17
56,36,48,67,56,1948,106,384,72,26,1271,40
26A,0,0,3,2,18,4,5,2,1,81,0
351,7,2,3,5,562,9,18,9,3,150,2
203,1,4,1,1,98,3,3,2,2,171,1
41A,88,227,205,65,2798,427,740,157,60,2697,92
268,199,237,173,310,7211,603,1723,314,114,7256,154
164,29,8,6,13,630,18,146,31,5,386,13
237B,1,0,0,3,27,0,16,1,0,88,1
342,40,51,43,51,1389,57,258,52,25,816,23
10H,150,377,525,42,4553,723,958,245,51,1336,106
265B,0,3,0,1,6,1,7,0,1,15,0
38,72,145,165,58,2333,422,641,162,46,1432,79
149,1,8,7,1,189,36,131,15,5,102,14
218,47,80,81,47,2396,88,227,53,15,1787,28
169,12,0,2,5,191,7,45,8,3,60,4
316H,6,14,45,12,398,55,131,23,2,130,8
14C,62,137,168,16,2001,241,427,97,27,427,30
10M,10,38,32,30,271,123,110,31,20,574,10
128A,0,0,0,1,41,1,9,1,0,55,1
43A,0,0,0,0,0,0,0,0,0,0,0
20,15,15,17,12,417,55,181,36,9,212,10
182,8,5,3,8,404,12,15,11,2,225,5
352,5,4,7,19,389,5,33,10,1,757,4
13N,44,191,165,30,2576,359,512,139,21,1069,57
127,16,10,11,16,1033,21,100,24,5,229,11
13K,11,17,21,7,368,35,41,15,3,157,5
6D,79,165,245,16,2828,411,638,114,35,655,50
256,1,0,1,3,30,1,13,1,0,49,1
14E,69,173,179,35,2138,309,481,162,47,1000,46
348,319,358,494,564,12459,1028,3179,583,185,8636,315
13F,77,221,210,42,2825,330,485,144,102,1209,60
91,1,6,1,8,119,3,33,4,0,174,1
292,1,1,1,1,21,0,2,1,1,26,1
5A,34,100,84,50,1148,194,336,85,40,1388,32
144B,0,0,0,0,2,0,3,0,0,8,0
42,0,2,1,3,41,3,11,1,0,223,5
16,0,0,0,0,0,0,0,0,0,0,0
271,15,13,7,37,346,35,88,26,8,559,16
154,109,233,175,91,4611,363,1043,197,79,2443,96
