parCodigo,parSiglas,parDenominacion,parColor
"3400","BLANCA RENACER VECINAL   ","BLANCA RENACER VECINAL                                                                              ","130db1"
"3401","CONSTRUCCION JUARENSE    ","CONSTRUCCION JUARENSE                                                                               ","16346c"
"3402","JUSTICIA E IGUALDAD      ","JUSTICIA E IGUALDAD                                                                                 ","357b6b"
"3403","JUNIN BICENTENARIO       ","JUNIN BICENTENARIO                                                                                  ","656641"
"3404","POR UN NUEVO JUNIN       ","POR UN NUEVO JUNIN                                                                                  ","3a7e3c"
"3405","PRIMERO VOS              ","PRIMERO VOS                                                                                         ","99b3b8"
"3406","LTA.MTO.VEC.DEL PDO. DE T","LTA.MTO.VEC.DEL PDO DE TRES ARROYOS                                                                 ","171cf3"
"3407","UNICA                    ","UNICA                                                                                               ","e6f7b1"
"3408","UV MAS CAMPANA           ","UV MAS CAMPANA                                                                                      ","25b27f"
"3409","CUMPLIR 6                ","CUMPLIR 6                                                                                           ","8a082c"
"3410","FUNDADORA                ","FUNDADORA                                                                                           ","82f0f8"
"3411","LEALTAD Y DIGNIDAD 16    ","LEALTAD Y DIGNIDAD 16                                                                               ","baea76"
"3412","CON LA FUERZA DE LA GENTE","CON LA FUERZA DE LA GENTE                                                                           ","989742"
"3413","LEALTAD Y DIGNIDAD 18    ","LEALTAD Y DIGNIDAD 18                                                                               ","af2579"
"3414","CELESTE Y BLANCA U8      ","CELESTE Y BLANCA U8                                                                                 ","11559d"
"3415","MOVES LUJAN              ","MOVES LUJAN                                                                                         ","89c464"
"3416","VECINOS POR MERCEDES     ","VECINOS POR MERCEDES                                                                                ","270bf0"
"3417","25 DE MAYO               ","25 DE MAYO                                                                                          ","e5e208"
"3418","SOCIALISMO MERLENSE      ","SOCIALISMO MERLENSE                                                                                 ","2e307d"
"3419","PROYECTO LOCAL MERLENSE  ","PROYECTO LOCAL MERLENSE                                                                             ","12d1b8"
"3420","UNION DEL PUEBLO         ","UNION DEL PUEBLO                                                                                    ","79d1f8"
"3421","PILAR QUERIDO            ","PILAR QUERIDO                                                                                       ","cb9ebb"
"3422","ACCION POR PILAR         ","ACCION POR PILAR                                                                                    ","b82e60"
"3423","AMARTE ARGENTINA 32      ","AMARTE ARGENTINA 32                                                                                 ","88b0c9"
"3424","EL PODER DE LOS VECINOS  ","EL PODER DE LOS VECINOS                                                                             ","858f49"
"3425","PURO PERONISMO 22        ","PURO PERONISMO 22                                                                                   ","b799e0"
"3426","VECINOS DIRIGENTES       ","VECINOS DIRIGENTES                                                                                  ","efcac0"
"3427","COMPROMISO CIUDADANO     ","COMPROMISO CIUDADANO                                                                                ","055bf9"
"3428","UNIDAD PACEÑA            ","UNIDAD PACEÑA                                                                                       ","131fec"
"3429","COMPROMISO VECINAL       ","COMPROMISO VECINAL                                                                                  ","3ca964"
"3430","CUMPLIR 8                ","CUMPLIR 8                                                                                           ","8c06ed"
"3431","301A ROJO                ","301A ROJO                                                                                           ","146d0b"
"3432","LA FUERZA DEL PUEBLO     ","LA FUERZA DEL PUEBLO                                                                                ","1cffc3"
"3433","VAMOS VECINOS            ","VAMOS VECINOS                                                                                       ","e015ef"
"3434","BLANCA                   ","BLANCA                                                                                              ","e5e437"
"3435","LISTA 8A                 ","LISTA 8A                                                                                            ","24f384"
"3436","CREEMOS                  ","CREEMOS                                                                                             ","0ffd1a"
"3437","LISTA 37                 ","LISTA 37                                                                                            ","4ca6d5"
"3438","LISTA AM                 ","LISTA AM                                                                                            ","8f5b48"
